pattern_id,concept_id,support,extent_size,intent_size,selection_score,coverage,dominant_class,purity,lift,attributes,intent_indices,lows,highs,pattern_type
24,24,857,857,2,1.568733,0.257589,4,0.59375,3.5625,"f65in[0.144,1.4];f1982in[0,0.776]",65;1982,0.144338;0,1.39707;0.775776,interval
25,25,828,828,2,1.568733,0.248873,4,0.59375,3.5625,"f18in[0,0.916];f65in[0.144,1.4]",18;65,0;0.144338,0.916228;1.39707,interval
26,26,846,846,2,1.568733,0.254283,4,0.59375,3.5625,"f65in[0.144,1.4];f532in[0,0.903]",65;532,0.144338;0,1.39707;0.903263,interval
27,27,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f3115in[0,0.75]",65;3115,0.144338;0,1.39707;0.75,interval
28,28,857,857,2,1.568733,0.257589,4,0.59375,3.5625,"f65in[0.144,1.4];f995in[0,1]",65;995,0.144338;0,1.39707;1,interval
29,29,849,849,2,1.568733,0.255185,4,0.59375,3.5625,"f65in[0.144,1.4];f2139in[0,1]",65;2139,0.144338;0,1.39707;1,interval
30,30,853,853,2,1.568733,0.256387,4,0.59375,3.5625,"f65in[0.144,1.4];f1624in[0,0.833]",65;1624,0.144338;0,1.39707;0.833333,interval
31,31,858,858,2,1.568733,0.25789,4,0.59375,3.5625,"f65in[0.144,1.4];f1984in[0,1]",65;1984,0.144338;0,1.39707;1,interval
32,32,843,843,2,1.568733,0.253381,4,0.59375,3.5625,"f65in[0.144,1.4];f3410in[0,0.75]",65;3410,0.144338;0,1.39707;0.75,interval
33,33,856,856,2,1.568733,0.257289,4,0.59375,3.5625,"f65in[0.144,1.4];f2093in[0,1]",65;2093,0.144338;0,1.39707;1,interval
34,34,852,852,2,1.568733,0.256087,4,0.59375,3.5625,"f65in[0.144,1.4];f247in[0,0.969]",65;247,0.144338;0,1.39707;0.969031,interval
35,35,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f2541in[0,1.07]",65;2541,0.144338;0,1.39707;1.07111,interval
36,36,858,858,2,1.568733,0.25789,4,0.59375,3.5625,"f65in[0.144,1.4];f3016in[0,1]",65;3016,0.144338;0,1.39707;1,interval
37,37,854,854,2,1.568733,0.256688,4,0.59375,3.5625,"f65in[0.144,1.4];f2123in[0,0.954]",65;2123,0.144338;0,1.39707;0.954124,interval
38,38,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f1471in[0,1.04]",65;1471,0.144338;0,1.39707;1.03746,interval
39,39,843,843,2,1.568733,0.253381,4,0.59375,3.5625,"f65in[0.144,1.4];f1213in[0,0.75]",65;1213,0.144338;0,1.39707;0.75,interval
40,40,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f3322in[0,0.954]",65;3322,0.144338;0,1.39707;0.954124,interval
41,41,832,832,2,1.568733,0.250075,4,0.59375,3.5625,"f65in[0.144,1.4];f565in[0,0.75]",65;565,0.144338;0,1.39707;0.75,interval
42,42,858,858,2,1.568733,0.25789,4,0.59375,3.5625,"f65in[0.144,1.4];f752in[0,1.13]",65;752,0.144338;0,1.39707;1.12522,interval
43,43,852,852,2,1.568733,0.256087,4,0.59375,3.5625,"f65in[0.144,1.4];f197in[0,0.75]",65;197,0.144338;0,1.39707;0.75,interval
44,44,844,844,2,1.568733,0.253682,4,0.59375,3.5625,"f65in[0.144,1.4];f2443in[0,0.833]",65;2443,0.144338;0,1.39707;0.833333,interval
45,45,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f3048in[0,0.908]",65;3048,0.144338;0,1.39707;0.908114,interval
46,46,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f2342in[0,1]",65;2342,0.144338;0,1.39707;1,interval
47,47,850,850,2,1.568733,0.255485,4,0.59375,3.5625,"f65in[0.144,1.4];f138in[0,0.75]",65;138,0.144338;0,1.39707;0.75,interval
48,48,853,853,2,1.568733,0.256387,4,0.59375,3.5625,"f65in[0.144,1.4];f244in[0,0.819]",65;244,0.144338;0,1.39707;0.819036,interval
49,49,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f2239in[0,1.19]",65;2239,0.144338;0,1.39707;1.18615,interval
50,50,843,843,2,1.568733,0.253381,4,0.59375,3.5625,"f65in[0.144,1.4];f928in[0,0.667]",65;928,0.144338;0,1.39707;0.666667,interval
51,51,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f2486in[0,1]",65;2486,0.144338;0,1.39707;1,interval
52,52,851,851,2,1.568733,0.255786,4,0.59375,3.5625,"f65in[0.144,1.4];f3671in[0,0.75]",65;3671,0.144338;0,1.39707;0.75,interval
53,53,856,856,2,1.568733,0.257289,4,0.59375,3.5625,"f65in[0.144,1.4];f387in[0,0.954]",65;387,0.144338;0,1.39707;0.954124,interval
54,54,832,832,2,1.568733,0.250075,4,0.59375,3.5625,"f1in[0,0.6];f65in[0.144,1.4]",1;65,0;0.144338,0.6;1.39707,interval
55,55,856,856,2,1.568733,0.257289,4,0.59375,3.5625,"f65in[0.144,1.4];f2941in[0,0.75]",65;2941,0.144338;0,1.39707;0.75,interval
56,56,853,853,2,1.568733,0.256387,4,0.59375,3.5625,"f65in[0.144,1.4];f2902in[0,0.842]",65;2902,0.144338;0,1.39707;0.841972,interval
57,57,857,857,2,1.568733,0.257589,4,0.59375,3.5625,"f65in[0.144,1.4];f2061in[0,0.954]",65;2061,0.144338;0,1.39707;0.954124,interval
58,58,856,856,2,1.568733,0.257289,4,0.59375,3.5625,"f65in[0.144,1.4];f3163in[0,0.927]",65;3163,0.144338;0,1.39707;0.926777,interval
59,59,858,858,2,1.568733,0.25789,4,0.59375,3.5625,"f65in[0.144,1.4];f2786in[0,1.06]",65;2786,0.144338;0,1.39707;1.06006,interval
60,60,855,855,2,1.568733,0.256988,4,0.59375,3.5625,"f65in[0.144,1.4];f1055in[0,0.75]",65;1055,0.144338;0,1.39707;0.75,interval
61,61,841,841,2,1.568733,0.25278,4,0.59375,3.5625,"f65in[0.144,1.4];f2982in[0,0.75]",65;2982,0.144338;0,1.39707;0.75,interval
62,62,839,839,2,1.568733,0.252179,4,0.59375,3.5625,"f65in[0.144,1.4];f75in[0,0.769]",65;75,0.144338;0,1.39707;0.768729,interval
63,63,856,856,2,1.568733,0.257289,4,0.59375,3.5625,"f65in[0.144,1.4];f535in[0,0.811]",65;535,0.144338;0,1.39707;0.811004,interval
64,64,839,839,2,1.568733,0.252179,4,0.59375,3.5625,"f65in[0.144,1.4];f2290in[0,0.667]",65;2290,0.144338;0,1.39707;0.666667,interval
65,65,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f177in[0,1.07]",65;177,0.144338;0,1.39707;1.07434,interval
66,66,856,856,2,1.568733,0.257289,4,0.59375,3.5625,"f65in[0.144,1.4];f2399in[0,0.75]",65;2399,0.144338;0,1.39707;0.75,interval
67,67,851,851,2,1.568733,0.255786,4,0.59375,3.5625,"f65in[0.144,1.4];f645in[0,0.811]",65;645,0.144338;0,1.39707;0.811004,interval
68,68,853,853,2,1.568733,0.256387,4,0.59375,3.5625,"f65in[0.144,1.4];f3047in[0,0.75]",65;3047,0.144338;0,1.39707;0.75,interval
69,69,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f3535in[0,1]",65;3535,0.144338;0,1.39707;1,interval
70,70,857,857,2,1.568733,0.257589,4,0.59375,3.5625,"f37in[0,0.75];f65in[0.144,1.4]",37;65,0;0.144338,0.75;1.39707,interval
71,71,854,854,2,1.568733,0.256688,4,0.59375,3.5625,"f65in[0.144,1.4];f1627in[0,0.728]",65;1627,0.144338;0,1.39707;0.727671,interval
72,72,855,855,2,1.568733,0.256988,4,0.59375,3.5625,"f65in[0.144,1.4];f3083in[0,0.769]",65;3083,0.144338;0,1.39707;0.769338,interval
73,73,858,858,2,1.568733,0.25789,4,0.59375,3.5625,"f65in[0.144,1.4];f3554in[0,0.75]",65;3554,0.144338;0,1.39707;0.75,interval
74,74,842,842,2,1.568733,0.253081,4,0.59375,3.5625,"f65in[0.144,1.4];f579in[0,0.75]",65;579,0.144338;0,1.39707;0.75,interval
75,75,841,841,2,1.568733,0.25278,4,0.59375,3.5625,"f65in[0.144,1.4];f3232in[0,0.75]",65;3232,0.144338;0,1.39707;0.75,interval
76,76,858,858,2,1.568733,0.25789,4,0.59375,3.5625,"f65in[0.144,1.4];f286in[0,1]",65;286,0.144338;0,1.39707;1,interval
77,77,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f2436in[0,1]",65;2436,0.144338;0,1.39707;1,interval
78,78,856,856,2,1.568733,0.257289,4,0.59375,3.5625,"f65in[0.144,1.4];f1210in[0,0.92]",65;1210,0.144338;0,1.39707;0.920113,interval
79,79,857,857,2,1.568733,0.257589,4,0.59375,3.5625,"f65in[0.144,1.4];f2576in[0,1]",65;2576,0.144338;0,1.39707;1,interval
80,80,852,852,2,1.568733,0.256087,4,0.59375,3.5625,"f65in[0.144,1.4];f2060in[0,0.75]",65;2060,0.144338;0,1.39707;0.75,interval
81,81,856,856,2,1.568733,0.257289,4,0.59375,3.5625,"f65in[0.144,1.4];f87in[0,0.758]",65;87,0.144338;0,1.39707;0.758114,interval
82,82,857,857,2,1.568733,0.257589,4,0.59375,3.5625,"f65in[0.144,1.4];f3267in[0,0.769]",65;3267,0.144338;0,1.39707;0.769338,interval
83,83,855,855,2,1.568733,0.256988,4,0.59375,3.5625,"f65in[0.144,1.4];f2330in[0,0.758]",65;2330,0.144338;0,1.39707;0.757954,interval
84,84,858,858,2,1.568733,0.25789,4,0.59375,3.5625,"f65in[0.144,1.4];f1846in[0,0.857]",65;1846,0.144338;0,1.39707;0.8566,interval
85,85,854,854,2,1.568733,0.256688,4,0.59375,3.5625,"f65in[0.144,1.4];f2852in[0,0.75]",65;2852,0.144338;0,1.39707;0.75,interval
86,86,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f2927in[0,0.954]",65;2927,0.144338;0,1.39707;0.954124,interval
87,87,852,852,2,1.568733,0.256087,4,0.59375,3.5625,"f38in[0,0.75];f65in[0.144,1.4]",38;65,0;0.144338,0.75;1.39707,interval
88,88,856,856,2,1.568733,0.257289,4,0.59375,3.5625,"f65in[0.144,1.4];f2991in[0,0.75]",65;2991,0.144338;0,1.39707;0.75,interval
89,89,829,829,2,1.568733,0.249173,4,0.59375,3.5625,"f65in[0.144,1.4];f1011in[0,0.775]",65;1011,0.144338;0,1.39707;0.775029,interval
90,90,842,842,2,1.568733,0.253081,4,0.59375,3.5625,"f65in[0.144,1.4];f1966in[0,0.667]",65;1966,0.144338;0,1.39707;0.666667,interval
91,91,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f2879in[0,0.954]",65;2879,0.144338;0,1.39707;0.954124,interval
92,92,858,858,2,1.568733,0.25789,4,0.59375,3.5625,"f65in[0.144,1.4];f3514in[0,0.75]",65;3514,0.144338;0,1.39707;0.75,interval
93,93,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f1048in[0,0.993]",65;1048,0.144338;0,1.39707;0.992944,interval
94,94,849,849,2,1.568733,0.255185,4,0.59375,3.5625,"f65in[0.144,1.4];f1546in[0,0.75]",65;1546,0.144338;0,1.39707;0.75,interval
95,95,852,852,2,1.568733,0.256087,4,0.59375,3.5625,"f45in[0,0.6];f65in[0.144,1.4]",45;65,0;0.144338,0.6;1.39707,interval
96,96,854,854,2,1.568733,0.256688,4,0.59375,3.5625,"f65in[0.144,1.4];f249in[0,0.75]",65;249,0.144338;0,1.39707;0.75,interval
97,97,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f3579in[0,1.19]",65;3579,0.144338;0,1.39707;1.19382,interval
98,98,854,854,2,1.568733,0.256688,4,0.59375,3.5625,"f65in[0.144,1.4];f3377in[0,0.819]",65;3377,0.144338;0,1.39707;0.819036,interval
99,99,857,857,2,1.568733,0.257589,4,0.59375,3.5625,"f65in[0.144,1.4];f3288in[0,0.954]",65;3288,0.144338;0,1.39707;0.954124,interval
100,100,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f2676in[0,1]",65;2676,0.144338;0,1.39707;1,interval
101,101,850,850,2,1.568733,0.255485,4,0.59375,3.5625,"f65in[0.144,1.4];f2429in[0,0.769]",65;2429,0.144338;0,1.39707;0.768729,interval
102,102,155,155,2,1.561234,0.046589,1,0.444444,2.666667,"f1968in[0.0836,0.884];f2085in[0.12,1]",1968;2085,0.0836289;0.119638,0.883631;1,interval
103,103,413,413,2,1.545359,0.124136,1,0.366667,2.2,"f1968in[0.0836,0.884];f3579in[0,1.19]",1968;3579,0.0836289;0,0.883631;1.19382,interval
104,104,411,411,2,1.545359,0.123535,1,0.366667,2.2,"f1968in[0.0836,0.884];f3163in[0,0.927]",1968;3163,0.0836289;0,0.883631;0.926777,interval
105,105,413,413,2,1.545359,0.124136,1,0.366667,2.2,"f1968in[0.0836,0.884];f2216in[0,0.927]",1968;2216,0.0836289;0,0.883631;0.926777,interval
106,106,413,413,2,1.545359,0.124136,1,0.366667,2.2,"f1968in[0.0836,0.884];f3257in[0,1.14]",1968;3257,0.0836289;0,0.883631;1.14176,interval
107,107,411,411,2,1.545359,0.123535,1,0.366667,2.2,"f1046in[0,0.75];f1968in[0.0836,0.884]",1046;1968,0;0.0836289,0.75;0.883631,interval
108,108,413,413,2,1.545359,0.124136,1,0.366667,2.2,"f1968in[0.0836,0.884];f3447in[0,0.75]",1968;3447,0.0836289;0,0.883631;0.75,interval
109,109,153,153,2,1.52729,0.045987,0,0.4,2.4,"f1613in[0.0936,1];f1968in[0.0836,0.884]",1613;1968,0.0935913;0.0836289,1;0.883631,interval
110,110,539,539,2,1.503131,0.162008,1,0.5,3.0,"f1868in[0.204,0.978];f3330in[0,0.75]",1868;3330,0.204124;0,0.977671;0.75,interval
111,111,549,549,2,1.503131,0.165014,1,0.5,3.0,"f1868in[0.204,0.978];f2576in[0,1]",1868;2576,0.204124;0,0.977671;1,interval
112,112,549,549,2,1.503131,0.165014,1,0.5,3.0,"f1860in[0,1];f1868in[0.204,0.978]",1860;1868,0;0.204124,1;0.977671,interval
113,113,544,544,2,1.503131,0.163511,1,0.5,3.0,"f1516in[0,0.833];f1868in[0.204,0.978]",1516;1868,0;0.204124,0.833333;0.977671,interval
114,114,543,543,2,1.503131,0.16321,1,0.5,3.0,"f719in[0,0.667];f1868in[0.204,0.978]",719;1868,0;0.204124,0.666667;0.977671,interval
115,115,545,545,2,1.503131,0.163811,1,0.5,3.0,"f532in[0,0.903];f1868in[0.204,0.978]",532;1868,0;0.204124,0.903263;0.977671,interval
116,116,548,548,2,1.503131,0.164713,1,0.5,3.0,"f1868in[0.204,0.978];f3322in[0,0.954]",1868;3322,0.204124;0,0.977671;0.954124,interval
117,117,546,546,2,1.503131,0.164112,1,0.5,3.0,"f511in[0,0.954];f1868in[0.204,0.978]",511;1868,0;0.204124,0.954124;0.977671,interval
118,118,549,549,2,1.503131,0.165014,1,0.5,3.0,"f1868in[0.204,0.978];f3579in[0,1.19]",1868;3579,0.204124;0,0.977671;1.19382,interval
119,119,547,547,2,1.503131,0.164412,1,0.5,3.0,"f1868in[0.204,0.978];f3288in[0,0.954]",1868;3288,0.204124;0,0.977671;0.954124,interval
120,120,541,541,2,1.503131,0.162609,1,0.5,3.0,"f1093in[0,0.951];f1868in[0.204,0.978]",1093;1868,0;0.204124,0.951184;0.977671,interval
121,121,549,549,2,1.503131,0.165014,1,0.5,3.0,"f1868in[0.204,0.978];f3257in[0,1.14]",1868;3257,0.204124;0,0.977671;1.14176,interval
122,122,544,544,2,1.503131,0.163511,1,0.5,3.0,"f1868in[0.204,0.978];f3278in[0,0.75]",1868;3278,0.204124;0,0.977671;0.75,interval
123,123,547,547,2,1.503131,0.164412,1,0.5,3.0,"f1868in[0.204,0.978];f2982in[0,0.75]",1868;2982,0.204124;0,0.977671;0.75,interval
124,124,546,546,2,1.503131,0.164112,1,0.5,3.0,"f645in[0,0.811];f1868in[0.204,0.978]",645;1868,0;0.204124,0.811004;0.977671,interval
125,125,549,549,2,1.503131,0.165014,1,0.5,3.0,"f1471in[0,1.04];f1868in[0.204,0.978]",1471;1868,0;0.204124,1.03746;0.977671,interval
126,126,549,549,2,1.503131,0.165014,1,0.5,3.0,"f752in[0,1.13];f1868in[0.204,0.978]",752;1868,0;0.204124,1.12522;0.977671,interval
127,127,547,547,2,1.503131,0.164412,1,0.5,3.0,"f1868in[0.204,0.978];f2786in[0,1.06]",1868;2786,0.204124;0,0.977671;1.06006,interval
128,128,544,544,2,1.503131,0.163511,1,0.5,3.0,"f1868in[0.204,0.978];f3163in[0,0.927]",1868;3163,0.204124;0,0.977671;0.926777,interval
129,129,548,548,2,1.503131,0.164713,1,0.5,3.0,"f1868in[0.204,0.978];f3429in[0,1]",1868;3429,0.204124;0,0.977671;1,interval
130,130,547,547,2,1.503131,0.164412,1,0.5,3.0,"f247in[0,0.969];f1868in[0.204,0.978]",247;1868,0;0.204124,0.969031;0.977671,interval
131,131,548,548,2,1.503131,0.164713,1,0.5,3.0,"f418in[0,1];f1868in[0.204,0.978]",418;1868,0;0.204124,1;0.977671,interval
132,132,541,541,2,1.503131,0.162609,1,0.5,3.0,"f1868in[0.204,0.978];f2330in[0,0.758]",1868;2330,0.204124;0,0.977671;0.757954,interval
133,133,549,549,2,1.503131,0.165014,1,0.5,3.0,"f37in[0,0.75];f1868in[0.204,0.978]",37;1868,0;0.204124,0.75;0.977671,interval
134,134,549,549,2,1.503131,0.165014,1,0.5,3.0,"f230in[0,1];f1868in[0.204,0.978]",230;1868,0;0.204124,1;0.977671,interval
135,135,543,543,2,1.503131,0.16321,1,0.5,3.0,"f38in[0,0.75];f1868in[0.204,0.978]",38;1868,0;0.204124,0.75;0.977671,interval
136,136,549,549,2,1.503131,0.165014,1,0.5,3.0,"f1868in[0.204,0.978];f2718in[0,1]",1868;2718,0.204124;0,0.977671;1,interval
137,137,543,543,2,1.503131,0.16321,1,0.5,3.0,"f75in[0,0.769];f1868in[0.204,0.978]",75;1868,0;0.204124,0.768729;0.977671,interval
138,138,539,539,2,1.503131,0.162008,1,0.5,3.0,"f1567in[0,0.625];f1868in[0.204,0.978]",1567;1868,0;0.204124,0.625;0.977671,interval
139,139,549,549,2,1.503131,0.165014,1,0.5,3.0,"f1868in[0.204,0.978];f1981in[0,0.75]",1868;1981,0.204124;0,0.977671;0.75,interval
140,140,542,542,2,1.503131,0.16291,1,0.5,3.0,"f1244in[0,0.75];f1868in[0.204,0.978]",1244;1868,0;0.204124,0.75;0.977671,interval
141,141,541,541,2,1.503131,0.162609,1,0.5,3.0,"f1868in[0.204,0.978];f2123in[0,0.954]",1868;2123,0.204124;0,0.977671;0.954124,interval
142,142,549,549,2,1.503131,0.165014,1,0.5,3.0,"f286in[0,1];f1868in[0.204,0.978]",286;1868,0;0.204124,1;0.977671,interval
143,143,547,547,2,1.503131,0.164412,1,0.5,3.0,"f1868in[0.204,0.978];f3088in[0,0.75]",1868;3088,0.204124;0,0.977671;0.75,interval
144,144,206,206,2,1.485144,0.061918,0,0.6,3.6,"f1613in[0.0936,1];f2741in[0.167,1]",1613;2741,0.0935913;0.166667,1;1,interval
145,145,224,224,2,1.4699,0.067328,4,0.714286,4.285714,"f65in[0.144,1.4];f1842in[0.0549,1.07]",65;1842,0.144338;0.0549149,1.39707;1.07434,interval
146,146,169,169,2,1.4699,0.050797,4,0.714286,4.285714,"f65in[0.144,1.4];f3126in[0.007,0.954]",65;3126,0.144338;0.00699866,1.39707;0.954124,interval
147,147,196,196,2,1.4699,0.058912,3,0.714286,4.285714,"f729in[0.212,1.04];f1623in[0.169,0.954]",729;1623,0.211999;0.168655,1.03746;0.954124,interval
148,148,222,222,2,1.4699,0.066727,4,0.714286,4.285714,"f65in[0.144,1.4];f168in[0.167,1.04]",65;168,0.144338;0.166667,1.39707;1.03746,interval
149,149,213,213,2,1.431338,0.064022,4,0.555556,3.333333,"f65in[0.144,1.4];f805in[0.126,1]",65;805,0.144338;0.126025,1.39707;1,interval
150,150,257,257,2,1.431338,0.077247,3,0.555556,3.333333,"f729in[0.212,1.04];f2565in[0.0986,0.914]",729;2565,0.211999;0.0986299,1.03746;0.913675,interval
151,151,187,187,2,1.407305,0.056207,3,0.625,3.75,"f729in[0.212,1.04];f3472in[0.144,1]",729;3472,0.211999;0.144338,1.03746;1,interval
152,152,206,206,2,1.407305,0.061918,1,0.625,3.75,"f102in[0.0684,0.831];f2563in[0.167,0.954]",102;2563,0.0684221;0.166667,0.830772;0.954124,interval
153,153,267,267,2,1.407305,0.080252,4,0.625,3.75,"f65in[0.144,1.4];f1623in[0.169,0.954]",65;1623,0.144338;0.168655,1.39707;0.954124,interval
154,154,182,182,2,1.407305,0.054704,1,0.625,3.75,"f1797in[0.0612,1.05];f1868in[0.204,0.978]",1797;1868,0.0611584;0.204124,1.04533;0.977671,interval
155,155,111,111,2,1.396167,0.033363,1,0.6,3.6,"f2085in[0.12,1];f3126in[0.007,0.954]",2085;3126,0.119638;0.00699866,1;0.954124,interval
156,156,516,516,2,1.381611,0.155095,0,0.333333,2.0,"f200in[0.0543,0.871];f380in[0,1]",200;380,0.0543131;0,0.870791;1,interval
157,157,515,515,2,1.381611,0.154794,0,0.333333,2.0,"f200in[0.0543,0.871];f3136in[0,0.75]",200;3136,0.0543131;0,0.870791;0.75,interval
158,158,516,516,2,1.381611,0.155095,0,0.333333,2.0,"f200in[0.0543,0.871];f2335in[0,0.954]",200;2335,0.0543131;0,0.870791;0.954124,interval
159,159,112,112,2,1.37231,0.033664,1,0.75,4.5,"f729in[0.212,1.04];f1868in[0.204,0.978]",729;1868,0.211999;0.204124,1.03746;0.977671,interval
160,160,654,654,2,1.356802,0.196573,5,0.5,3.0,"f1011in[0,0.775];f1618in[0.0836,1.02]",1011;1618,0;0.0836289,0.775029;1.02316,interval
161,161,678,678,2,1.356802,0.203787,5,0.5,3.0,"f1595in[0,0.728];f1618in[0.0836,1.02]",1595;1618,0;0.0836289,0.727671;1.02316,interval
162,162,686,686,2,1.356802,0.206192,5,0.5,3.0,"f1618in[0.0836,1.02];f3163in[0,0.927]",1618;3163,0.0836289;0,1.02316;0.926777,interval
163,163,691,691,2,1.356802,0.207695,5,0.5,3.0,"f1471in[0,1.04];f1618in[0.0836,1.02]",1471;1618,0;0.0836289,1.03746;1.02316,interval
164,164,677,677,2,1.356802,0.203487,5,0.5,3.0,"f32in[0,0.75];f1618in[0.0836,1.02]",32;1618,0;0.0836289,0.75;1.02316,interval
165,165,692,692,2,1.356802,0.207995,5,0.5,3.0,"f247in[0,0.969];f1618in[0.0836,1.02]",247;1618,0;0.0836289,0.969031;1.02316,interval
166,166,683,683,2,1.356802,0.20529,5,0.5,3.0,"f1618in[0.0836,1.02];f2982in[0,0.75]",1618;2982,0.0836289;0,1.02316;0.75,interval
167,167,689,689,2,1.356802,0.207093,5,0.5,3.0,"f1618in[0.0836,1.02];f1620in[0,1]",1618;1620,0.0836289;0,1.02316;1,interval
168,168,684,684,2,1.356802,0.205591,5,0.5,3.0,"f1618in[0.0836,1.02];f3310in[0,0.833]",1618;3310,0.0836289;0,1.02316;0.833333,interval
169,169,689,689,2,1.356802,0.207093,5,0.5,3.0,"f699in[0,0.75];f1618in[0.0836,1.02]",699;1618,0;0.0836289,0.75;1.02316,interval
