pattern_id,concept_id,support,extent_size,intent_size,selection_score,coverage,dominant_class,purity,lift,attributes,intent_indices,lows,highs,pattern_type
85,85,1957,1957,2,1.629054,0.099254,0,0.666667,2.0,"f171in[0.000138,0.0877];f369in[0,0.0352]",171;369,0.000137839;0,0.0876843;0.0352458,interval
86,86,3631,3631,2,1.629054,0.184156,0,0.666667,2.0,"f415in[0,0.0847];f442in[0.00216,0.0405]",415;442,0;0.0021561,0.0847164;0.0404628,interval
87,87,3321,3321,2,1.500387,0.168433,1,0.6,1.8,"f119in[3.17e-05,0.104];f418in[0,0.202]",119;418,3.17351e-05;0,0.103534;0.201949,interval
88,88,1744,1744,2,1.500387,0.088452,0,0.6,1.8,"f52in[0,0.0795];f341in[0.00121,0.0437]",52;341,0;0.00120621,0.0795388;0.043705,interval
89,89,1787,1787,2,1.500387,0.090632,0,0.6,1.8,"f341in[0.00121,0.0437];f372in[0,0.0416]",341;372,0.00120621;0,0.043705;0.0415625,interval
90,90,3023,3023,2,1.500387,0.153319,1,0.6,1.8,"f119in[3.17e-05,0.104];f458in[0,0.012]",119;458,3.17351e-05;0,0.103534;0.0120208,interval
91,91,5422,5422,2,1.500387,0.274991,2,0.6,1.8,"f5in[0,0.141];f247in[0.00497,0.0734]",5;247,0;0.0049722,0.140985;0.0733985,interval
92,92,5373,5373,2,1.500387,0.272506,2,0.6,1.8,"f247in[0.00497,0.0734];f444in[0,0.126]",247;444,0.0049722;0,0.0733985;0.126081,interval
93,93,5203,5203,2,1.500387,0.263884,2,0.6,1.8,"f247in[0.00497,0.0734];f279in[0,0.045]",247;279,0.0049722;0,0.0733985;0.0450235,interval
94,94,3231,3231,2,1.500387,0.163869,1,0.6,1.8,"f92in[0,0.0942];f119in[3.17e-05,0.104]",92;119,0;3.17351e-05,0.0942084;0.103534,interval
95,95,5424,5424,2,1.500387,0.275093,2,0.6,1.8,"f247in[0.00497,0.0734];f268in[0,0.0357]",247;268,0.0049722;0,0.0733985;0.0356867,interval
96,96,3325,3325,2,1.500387,0.168636,1,0.6,1.8,"f119in[3.17e-05,0.104];f286in[0,0.269]",119;286,3.17351e-05;0,0.103534;0.26866,interval
97,97,5434,5434,2,1.500387,0.2756,2,0.6,1.8,"f247in[0.00497,0.0734];f300in[0,0.0776]",247;300,0.0049722;0,0.0733985;0.0776076,interval
98,98,3292,3292,2,1.500387,0.166963,1,0.6,1.8,"f119in[3.17e-05,0.104];f446in[0,0.0471]",119;446,3.17351e-05;0,0.103534;0.0470739,interval
99,99,5341,5341,2,1.500387,0.270883,2,0.6,1.8,"f247in[0.00497,0.0734];f274in[0,0.0392]",247;274,0.0049722;0,0.0733985;0.0392437,interval
100,100,3217,3217,2,1.500387,0.163159,1,0.6,1.8,"f119in[3.17e-05,0.104];f391in[0,0.0296]",119;391,3.17351e-05;0,0.103534;0.0295629,interval
101,101,1832,1832,2,1.500387,0.092915,0,0.6,1.8,"f341in[0.00121,0.0437];f431in[0,0.0937]",341;431,0.00120621;0,0.043705;0.0937062,interval
102,102,3253,3253,2,1.500387,0.164985,1,0.6,1.8,"f119in[3.17e-05,0.104];f492in[0,0.0829]",119;492,3.17351e-05;0,0.103534;0.0828902,interval
103,103,3312,3312,2,1.500387,0.167977,1,0.6,1.8,"f119in[3.17e-05,0.104];f345in[0,0.121]",119;345,3.17351e-05;0,0.103534;0.120699,interval
104,104,1817,1817,2,1.500387,0.092154,0,0.6,1.8,"f341in[0.00121,0.0437];f467in[0,0.0985]",341;467,0.00120621;0,0.043705;0.0985498,interval
105,105,3041,3041,2,1.500387,0.154232,1,0.6,1.8,"f119in[3.17e-05,0.104];f256in[0,0.0251]",119;256,3.17351e-05;0,0.103534;0.0251087,interval
106,106,3316,3316,2,1.500387,0.16818,1,0.6,1.8,"f119in[3.17e-05,0.104];f281in[0,0.0732]",119;281,3.17351e-05;0,0.103534;0.0731671,interval
107,107,5409,5409,2,1.500387,0.274332,2,0.6,1.8,"f247in[0.00497,0.0734];f449in[0,0.112]",247;449,0.0049722;0,0.0733985;0.111902,interval
108,108,2026,2026,2,1.444909,0.102754,1,0.833333,2.5,"f128in[0.00131,0.0474];f329in[0.00112,0.117]",128;329,0.00130593;0.00111746,0.0473836;0.117036,interval
109,109,1009,1009,2,1.444909,0.051174,0,0.833333,2.5,"f32in[0.0186,0.177];f33in[0.0063,0.102]",32;33,0.0185824;0.00630034,0.177467;0.1024,interval
110,110,2216,2216,2,1.444909,0.11239,1,0.833333,2.5,"f269in[0.00223,0.0633];f328in[0.00068,0.0607]",269;328,0.00222868;0.000680128,0.06328;0.0607377,interval
111,111,5736,5736,2,1.437243,0.290916,2,0.533333,1.6,"f5in[0,0.141];f89in[0.0161,0.0759]",5;89,0;0.0161029,0.140985;0.0759466,interval
112,112,5676,5676,2,1.437243,0.287873,2,0.533333,1.6,"f89in[0.0161,0.0759];f291in[0,0.0421]",89;291,0.0161029;0,0.0759466;0.0420634,interval
113,113,5767,5767,2,1.437243,0.292489,2,0.533333,1.6,"f89in[0.0161,0.0759];f402in[0,0.0526]",89;402,0.0161029;0,0.0759466;0.0526295,interval
114,114,5763,5763,2,1.437243,0.292286,2,0.533333,1.6,"f89in[0.0161,0.0759];f311in[0,0.0557]",89;311,0.0161029;0,0.0759466;0.0557299,interval
115,115,5787,5787,2,1.437243,0.293503,2,0.533333,1.6,"f89in[0.0161,0.0759];f444in[0,0.126]",89;444,0.0161029;0,0.0759466;0.126081,interval
116,116,5802,5802,2,1.437243,0.294264,2,0.533333,1.6,"f89in[0.0161,0.0759];f350in[0,0.0624]",89;350,0.0161029;0,0.0759466;0.0623663,interval
117,117,5555,5555,2,1.437243,0.281737,2,0.533333,1.6,"f89in[0.0161,0.0759];f158in[0,0.0283]",89;158,0.0161029;0,0.0759466;0.028307,interval
118,118,5815,5815,2,1.437243,0.294923,2,0.533333,1.6,"f89in[0.0161,0.0759];f213in[0,0.123]",89;213,0.0161029;0,0.0759466;0.123402,interval
119,119,836,836,2,1.403948,0.0424,0,0.7,2.1,"f93in[0.00402,0.174];f283in[0.00122,0.0499]",93;283,0.00402105;0.00122059,0.173565;0.0499335,interval
120,120,2170,2170,2,1.38067,0.110057,2,0.75,2.25,"f196in[0.0137,0.192];f434in[0.00344,0.176]",196;434,0.0136722;0.00344145,0.19212;0.176192,interval
121,121,2468,2468,2,1.38067,0.125171,2,0.75,2.25,"f196in[0.0137,0.192];f386in[0.00199,0.145]",196;386,0.0136722;0.0019906,0.19212;0.145383,interval
122,122,3375,3375,2,1.299938,0.171172,0,0.733333,2.2,"f8in[0.00512,0.118];f347in[0,0.0529]",8;347,0.00511768;0,0.11764;0.0529419,interval
123,123,3424,3424,2,1.299938,0.173657,0,0.733333,2.2,"f8in[0.00512,0.118];f235in[0,0.136]",8;235,0.00511768;0,0.11764;0.135802,interval
124,124,3365,3365,2,1.299938,0.170665,0,0.733333,2.2,"f8in[0.00512,0.118];f345in[0,0.121]",8;345,0.00511768;0,0.11764;0.120699,interval
125,125,3413,3413,2,1.299938,0.173099,0,0.733333,2.2,"f8in[0.00512,0.118];f409in[0,0.245]",8;409,0.00511768;0,0.11764;0.24524,interval
126,126,3416,3416,2,1.299938,0.173252,0,0.733333,2.2,"f8in[0.00512,0.118];f493in[0,0.0531]",8;493,0.00511768;0,0.11764;0.0530848,interval
127,127,3392,3392,2,1.299938,0.172034,0,0.733333,2.2,"f8in[0.00512,0.118];f449in[0,0.112]",8;449,0.00511768;0,0.11764;0.111902,interval
128,128,3316,3316,2,1.299938,0.16818,0,0.733333,2.2,"f8in[0.00512,0.118];f285in[0,0.182]",8;285,0.00511768;0,0.11764;0.181704,interval
129,129,1044,1044,2,1.26186,0.052949,0,0.666667,2.0,"f248in[0.00942,0.0759];f267in[0.00207,0.171]",248;267,0.00942105;0.00206642,0.0758598;0.171212,interval
130,130,1115,1115,2,1.26186,0.05655,1,0.666667,2.0,"f123in[0.0189,0.083];f175in[0.011,0.0828]",123;175,0.0188828;0.0110124,0.0830422;0.0827589,interval
131,131,669,669,2,1.26186,0.03393,1,0.666667,2.0,"f142in[0.00206,0.0348];f160in[0.00206,0.127]",142;160,0.00206023;0.0020606,0.0347584;0.127009,interval
132,132,1798,1798,2,1.217571,0.09119,0,0.8,2.4,"f111in[0.000851,0.109];f394in[0.00187,0.0276]",111;394,0.00085084;0.00186714,0.109321;0.0276283,interval
133,133,1331,1331,2,1.217571,0.067505,1,0.8,2.4,"f102in[0.00129,0.0261];f103in[0.00139,0.0486]",102;103,0.00129261;0.00138691,0.0260687;0.0485597,interval
134,134,1011,1011,2,1.217571,0.051276,1,0.8,2.4,"f269in[0.00223,0.0633];f346in[0.000978,0.138]",269;346,0.00222868;0.000977771,0.06328;0.13785,interval
135,135,1061,1061,2,1.217571,0.053811,0,0.8,2.4,"f15in[0.000625,0.164];f267in[0.00207,0.171]",15;267,0.000625433;0.00206642,0.163876;0.171212,interval
136,136,933,933,2,1.217571,0.04732,2,0.8,2.4,"f32in[0.0186,0.177];f196in[0.0137,0.192]",32;196,0.0185824;0.0136722,0.177467;0.19212,interval
137,137,963,963,2,1.217571,0.048841,0,0.8,2.4,"f306in[0.00102,0.198];f346in[0.000978,0.138]",306;346,0.00101828;0.000977771,0.197875;0.13785,interval
138,138,1561,1561,2,1.217571,0.07917,2,0.8,2.4,"f70in[0.0139,0.0401];f289in[0.000534,0.151]",70;289,0.0138757;0.000534464,0.0400711;0.150981,interval
139,139,672,672,2,1.217571,0.034082,0,0.8,2.4,"f267in[0.00207,0.171];f323in[0.00365,0.0781]",267;323,0.00206642;0.00364932,0.171212;0.0780663,interval
140,140,801,801,2,1.204959,0.040625,1,0.714286,2.142857,"f187in[0.00095,0.0309];f346in[0.000978,0.138]",187;346,0.00094977;0.000977771,0.0308724;0.13785,interval
141,141,2576,2576,2,1.125203,0.130649,2,0.625,1.875,"f15in[0.000625,0.164];f196in[0.0137,0.192]",15;196,0.000625433;0.0136722,0.163876;0.19212,interval
142,142,1507,1507,2,1.125203,0.076432,1,0.625,1.875,"f69in[0.00129,0.0515];f162in[0.0227,0.0907]",69;162,0.00129345;0.0227199,0.0514558;0.090692,interval
143,143,1202,1202,2,1.124102,0.060963,2,0.555556,1.666667,"f196in[0.0137,0.192];f284in[0.00202,0.105]",196;284,0.0136722;0.00201867,0.19212;0.105246,interval
144,144,2218,2218,2,1.124102,0.112492,2,0.555556,1.666667,"f108in[0.00078,0.0256];f247in[0.00497,0.0734]",108;247,0.000779714;0.0049722,0.0256021;0.0733985,interval
145,145,4128,4128,2,1.041024,0.209362,2,0.666667,2.0,"f196in[0.0137,0.192];f472in[0,0.0859]",196;472,0.0136722;0,0.19212;0.0859457,interval
146,146,2508,2508,2,1.041024,0.1272,1,0.666667,2.0,"f346in[0.000978,0.138];f385in[0,0.0795]",346;385,0.000977771;0,0.13785;0.0795327,interval
147,147,3822,3822,2,1.041024,0.193843,2,0.666667,2.0,"f196in[0.0137,0.192];f471in[0,0.0909]",196;471,0.0136722;0,0.19212;0.0909163,interval
148,148,4216,4216,2,1.041024,0.213826,2,0.666667,2.0,"f39in[0,0.142];f196in[0.0137,0.192]",39;196,0;0.0136722,0.141867;0.19212,interval
149,149,3087,3087,2,1.041024,0.156565,0,0.666667,2.0,"f31in[0,0.127];f93in[0.00402,0.174]",31;93,0;0.00402105,0.126544;0.173565,interval
150,150,4160,4160,2,1.041024,0.210985,2,0.666667,2.0,"f196in[0.0137,0.192];f484in[0,0.0731]",196;484,0.0136722;0,0.19212;0.0731451,interval
151,151,2563,2563,2,1.041024,0.129989,1,0.666667,2.0,"f275in[0,0.038];f346in[0.000978,0.138]",275;346,0;0.000977771,0.0379519;0.13785,interval
152,152,2573,2573,2,1.041024,0.130497,1,0.666667,2.0,"f346in[0.000978,0.138];f444in[0,0.126]",346;444,0.000977771;0,0.13785;0.126081,interval
153,153,3830,3830,2,1.041024,0.194249,2,0.666667,2.0,"f6in[0,0.031];f196in[0.0137,0.192]",6;196,0;0.0136722,0.0310303;0.19212,interval
154,154,2361,2361,2,1.041024,0.119744,1,0.666667,2.0,"f346in[0.000978,0.138];f362in[0,0.0129]",346;362,0.000977771;0,0.13785;0.0129292,interval
155,155,4093,4093,2,1.041024,0.207587,2,0.666667,2.0,"f196in[0.0137,0.192];f415in[0,0.0847]",196;415,0.0136722;0,0.19212;0.0847164,interval
156,156,2455,2455,2,1.041024,0.124512,1,0.666667,2.0,"f346in[0.000978,0.138];f476in[0,0.0181]",346;476,0.000977771;0,0.13785;0.0180926,interval
157,157,2567,2567,2,1.041024,0.130192,1,0.666667,2.0,"f346in[0.000978,0.138];f443in[0,0.228]",346;443,0.000977771;0,0.13785;0.227851,interval
158,158,8355,8355,2,1.041024,0.423746,1,0.666667,2.0,"f327in[0,0.0368];f329in[0.00112,0.117]",327;329,0;0.00111746,0.0367679;0.117036,interval
159,159,2690,2690,2,1.041024,0.13643,0,0.666667,2.0,"f248in[0.00942,0.0759];f463in[0,0.0241]",248;463,0.00942105;0,0.0758598;0.0241384,interval
